index,Used Price
0,242000
1,35800
2,37800
3,41400
4,39400
5,41900
6,46100
7,47700
8,44100
9,51300
10,52000
11,47600
12,51200
13,56500
14,46200
22,55700
23,56950
24,56650
25,64700
26,58100
27,62600
28,61600
29,66100
30,71700
31,69300
32,74600
33,72000
34,76750
35,80550
36,90900
37,37400
38,40200
39,42600
40,39800
41,58200
42,58200
43,62900
44,62900
45,65200
46,65200
47,49800
48,55200
54,62200
55,45300
56,50100
57,53000
58,62400
59,48200
60,58500
61,55600
62,58100
63,67700
64,55400
65,52200
66,60400
67,59500
68,65300
69,63300
70,69100
71,75100
72,73700
73,77800
74,81800
75,82200
76,77800
77,88200
78,74400
79,78800
80,84800
81,62300
82,79600
83,79900
84,125800
85,127800
86,125800
87,147100
88,47400
89,50300
90,54300
91,54500
92,57500
93,61800
94,66100
95,57500
96,57500
97,69100
98,60500
99,60500
100,73200
101,64600
102,64900
103,75500
104,79800
105,83700
106,85300
107,89100
108,92700
109,123400
110,57700
111,61700
112,66800
113,61100
114,64100
115,69200
116,90400
117,94900
118,96600
119,103600
120,92600
121,98600
122,89800
123,95800
124,106500
125,114500
126,38800
127,40800
128,49700
129,51700
130,38400
131,40400
132,48300
133,45600
134,47600
135,44500
136,46500
137,57600
138,59600
139,49900
140,58100
141,51900
142,60100
143,61450
144,69550
145,63450
146,71550
147,48300
148,50300
149,61050
150,63050
151,57900
152,60200
153,64900
154,96400
155,99400
156,107000
157,121300
158,90800
159,100500
160,103500
161,93800
162,116000
163,106300
164,90800
165,93800
166,106300
167,149300
168,149400
169,63200
170,76000
171,80200
172,84300
173,118700
174,78100
175,82200
176,86300
177,93300
178,138800
179,148800
180,138800
181,49900
182,40500
183,51400
184,42000
185,61900
186,46900
187,48900
188,75500
189,66400
190,55000
191,79100
192,89300
193,65200
194,67500
195,72500
196,122300
197,93600
198,73900
199,127200
200,108700
201,81900
202,159000
203,185000
204,66300
205,53600
206,69700
207,52200
208,57300
209,61600
210,84100
211,66800
212,168500
213,105700
214,124200
215,111500
216,87100
217,215300
218,215300
219,238200
220,246400
221,203200
222,232300
223,240300
224,203200
225,242100
226,271400
227,336000
228,233700
229,259300
230,291300
231,315800
232,355600
233,274000
234,300000
235,336000
236,242700
237,281600
238,320300
239,336000
240,391100
241,301300
242,330000
243,367200
244,267000
245,235800
246,229100
247,256600
248,257800
249,221200
250,306300
251,308200
252,324700
253,247700
254,248400
255,266500
256,300200
257,214900
258,50095
259,51385
260,39630
261,40370
262,43330
263,44070
264,55520
265,48555
266,49475
267,69685
268,71105
269,47940
270,90035
271,60765
272,60225
273,38390
274,29795
275,32395
276,32365
277,33935
278,54835
279,56055
280,59935
281,61155
282,52835
283,57935
284,51490
285,53835
286,58935
287,38365
288,39565
289,47205
290,43620
291,43720
292,29345
293,31515
294,28000
295,29500
296,38465
297,36965
298,37465
299,40500
300,33340
301,32510
302,30340
303,38460
304,39460
305,35040
306,34040
307,79015
308,82315
309,72260
310,68960
311,82015
312,85315
313,71960
314,75260
315,84245
316,87545
317,62405
318,59105
319,63140
320,66440
321,84545
322,81245
323,72550
324,55105
325,58405
326,59375
327,56075
328,63440
329,60140
330,36860
331,38860
332,54625
333,56625
334,49520
335,47520
336,54770
337,56770
338,52105
339,50105
340,48455
341,46455
342,49330
343,38670
344,40670
345,73845
346,74150
347,65395
348,66000
349,74150
350,73845
351,78440
352,48335
353,52215
354,46000
355,49800
356,64350
357,41980
358,41285
359,41990
360,36965
361,47500
362,43620
363,49600
364,45085
365,36975
366,53950
367,51530
368,56030
369,50090
370,47730
371,67995
372,76995
373,84995
374,54995
375,62995
376,77175
377,76975
378,64940
379,62410
380,62610
381,64740
382,97295
383,97095
384,78065
385,77865
386,47305
387,47505
388,50095
389,50305
390,47760
391,48960
392,51560
393,48760
394,51770
395,44970
396,53955
397,53755
398,51105
399,55510
400,55715
401,78220
402,79160
403,78025
404,63660
405,67480
406,63460
407,65145
408,65790
409,65990
410,100280
411,98270
412,98470
413,79115
414,81145
415,78915
416,61495
417,54300
418,60040
419,48815
420,50015
421,52830
422,50305
423,49815
424,52620
425,48345
426,48555
427,51155
428,51345
429,52815
430,46015
431,47505
432,53115
433,54800
434,55010
435,52160
436,57610
437,55840
438,56560
439,56760
440,92090
441,79665
442,104030
443,93535
444,62765
445,64455
446,67925
447,59455
448,66695
449,70035
450,34960
451,23920
452,26420
453,58185
454,30920
455,39020
456,41945
457,36445
458,41960
459,46480
460,51980
461,53995
462,46995
463,43995
464,39995
465,43495
466,47115
467,43630
468,55470
469,36315
470,32670
471,36110
472,39595
473,48235
474,52430
475,46890
476,51085
477,49235
478,53425
479,55375
480,56600
481,51185
482,52405
483,49180
484,47835
485,52035
486,53380
487,50185
488,54380
489,54250
490,61690
491,56605
492,58835
493,57850
494,53655
495,56630
496,52435
497,53655
498,57850
499,52435
500,56630
501,53280
502,54630
503,49090
504,50435
505,54630
506,50435
507,55625
508,51435
509,55625
510,51435
511,62415
512,64175
513,58035
514,55220
515,59415
516,53620
517,54500
518,58695
519,61175
520,56985
521,59580
522,56260
523,60450
524,98950
525,109450
526,134900
527,153350
528,175900
529,194900
530,60700
531,83900
532,46950
533,48950
534,54950
535,65400
536,43200
537,45200
538,72800
539,56500
540,64350
541,65650
542,73850
543,62300
544,68100
545,74700
546,52750
547,56900
548,60550
549,106900
550,77900
551,74900
552,85900
553,109300
554,77900
555,77900
556,89500
557,147550
558,107400
559,104400
560,127350
561,107400
562,104400
563,127350
564,183000
565,357000
566,143000
567,56450
568,41850
569,43850
570,59050
571,44450
572,46450
573,64950
574,47450
575,49450
576,70600
577,57000
578,86750
579,127700
580,62650
581,69500
582,69500
583,86700
584,89800
585,129050
586,145850
587,87000
588,112000
589,198300
590,234300
591,179900
592,174350
593,182250
594,117300
595,128150
596,127750
597,109900
598,141300
599,183000
600,59400
601,52700
602,49900
603,54920
604,52120
605,61620
606,55800
607,58600
608,65300
609,66000
610,58900
611,59300
612,56500
613,61700
614,68400
615,68920
616,62220
617,59420
618,65200
619,68000
620,52800
621,55600
622,59400
623,64600
624,61800
625,62200
626,65200
627,58500
628,74200
629,67500
630,71700
631,65100
632,61000
633,70000
634,67600
635,71886
636,75316
637,47690
638,39590
639,43590
640,45190
641,44190
642,48190
643,54190
644,54190
645,41190
646,26000
647,32700
648,34200
649,28200
650,29700
651,28300
652,26800
653,35700
654,67790
655,70790
656,62540
657,59540
658,55720
659,58720
660,39560
661,36560
662,30030
663,33230
664,31330
665,34330
666,42900
667,39900
668,35930
669,32730
670,36960
671,39960
672,34130
673,37130
674,221090
675,121090
676,141090
677,21050
678,23610
679,22910
680,28140
681,36190
682,46200
683,47900
684,43850
685,42150
686,38190
687,39890
688,50950
689,49050
690,43900
691,36080
692,37980
693,44400
694,42500
695,38900
696,40800
697,38700
698,40200
699,28420
700,29920
701,35270
702,36770
703,31610
704,30110
705,20890
706,23980
707,21820
708,53850
709,63020
710,59710
711,49410
712,46040
713,49230
714,58160
715,66110
716,52200
717,16680
718,18350
719,20690
720,19970
721,65090
722,52310
723,52310
724,42310
725,42310
726,217000
727,233200
728,236000
729,148200
730,187000
731,159800
732,298200
733,348700
734,35400
735,37400
736,38800
737,40800
738,40300
739,45400
740,47000
741,42400
742,50600
743,51300
744,45900
745,50500
746,55800
747,44600
748,49700
749,51800
750,59000
751,51800
752,46700
753,53900
754,46700
755,55000
756,55950
757,64000
758,56250
759,56900
760,60800
761,60800
762,64700
763,70500
764,67900
765,73400
766,70200
767,75350
768,79350
769,87800
770,36800
771,40100
772,42500
773,39200
774,58200
775,64400
776,65900
777,49800
778,55200
779,56000
780,61400
781,62900
782,44200
783,49400
784,51900
785,61700
786,46700
787,57400
788,54900
789,57400
790,67000
791,54600
792,51000
793,59700
794,59200
795,64800
796,63300
797,68400
798,74400
799,72800
800,77300
801,83100
802,249900
803,158600
804,209700
805,171000
806,222100
807,60900
808,77900
809,78200
810,121900
811,123900
812,125800
813,143900
814,46800
815,49500
816,53500
817,52800
818,56800
819,61100
820,55800
821,64400
822,55800
823,68400
824,59800
825,59800
826,72500
827,63900
828,64200
829,73700
830,78400
831,82500
832,83500
833,87700
834,91500
835,120500
836,56500
837,60900
838,66100
839,59900
840,63300
841,68500
842,90200
843,94900
844,95500
845,101500
846,52200
847,56300
848,61900
849,86400
850,70800
851,77800
